#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
129,MonetaryUnit,MUE,"$6,933,046",$0.057392,"120,801,400","$105,440",1.49%,7.68%,49.04%
130,Shift,SHIFT,"$6,879,168",$0.636808,"10,802,578","$149,132",0.72%,8.71%,66.29%
131,SaluS,SLS,"$6,846,271",$6.82,"1,003,393*","$2,189",-2.19%,4.78%,23.52%
132,Feathercoin,FTC,"$6,778,026",$0.041621,"162,851,880","$201,049",0.32%,3.11%,56.82%
133,ZClassic,ZCL,"$6,535,995",$4.62,"1,415,125","$468,254",7.78%,43.77%,-56.06%
134,Pluton,PLU,"$6,296,949",$7.41,"850,000*","$147,593",-2.29%,-3.56%,119.73%
135,Aeon,AEON,"$6,243,732",$0.440351,"14,178,988","$29,185",2.51%,18.58%,46.49%
136,FoldingCoin,FLDC,"$6,230,547",$0.012722,"489,741,985*","$280,030",-1.72%,1.23%,73.58%
137,E-Dinar Coin,EDR,"$6,222,340",$0.024176,"257,373,526","$210,411",-1.51%,-10.88%,-22.39%
138,ICO OpenLedger,ICOO,"$6,167,869",$13.07,"471,795*","$3,391",13.91%,28.55%,502.12%
139,PinkCoin,PINK,"$6,103,075",$0.019063,"320,156,250","$450,909",0.00%,7.84%,61.71%
140,Auroracoin,AUR,"$6,054,342",$0.699266,"8,658,139**","$52,547",3.39%,-3.58%,87.42%
141,Quark,QRK,"$5,848,488",$0.023384,"250,101,047","$98,115",3.78%,-4.56%,175.12%
142,Incent,INCNT,"$5,771,129",$0.250828,"23,008,312*","$184,621",1.10%,3.32%,62.44%
143,Safe Exchange...,SAFEX,"$5,670,001",$0.002640,"2,147,483,647*","$67,031",-9.55%,8.64%,136.53%
144,XtraBYtes,XBY,"$5,536,694",$0.008518,"650,000,000*","$97,038",-1.56%,15.81%,-10.39%
145,Vcash,XVC,"$5,403,835",$0.354495,"15,243,755","$182,015",1.94%,8.22%,67.24%
146,Janus,JNS,"$5,353,050",$0.258189,"20,733,069*","$19,744",-0.75%,-22.60%,15.80%
147,Mooncoin,MOON,"$5,341,968",$0.000024,"221,920,844,565","$121,190",-34.55%,-0.40%,22.54%
148,LoMoCoin,LMC,"$5,250,033",$0.025244,"207,973,162*","$1,555,640",4.01%,19.91%,64.15%
149,AsiaCoin,AC,"$5,197,792",$0.006285,"827,004,870",$899,0.61%,17.92%,127.47%
150,Gambit,GAM,"$5,145,749",$4.35,"1,183,282*","$112,751",1.52%,-2.86%,15.03%
151,FirstCoin,FRST,"$5,061,658",$1.69,"2,990,340","$32,451",-0.04%,3.07%,19.54%
152,Megacoin,MEC,"$4,913,400",$0.149405,"32,886,450","$1,165,700",11.53%,8.83%,49.55%
153,CloakCoin,CLOAK,"$4,669,770",$0.934502,"4,997,068*","$39,362",-0.17%,-9.17%,142.31%
154,SIBCoin,SIB,"$4,552,689",$0.312871,"14,551,329","$33,320",0.04%,1.93%,6.60%
155,Bitmark,BTM,"$4,528,138",$1.16,"3,901,180","$353,905",9.14%,40.48%,133.06%
156,Darcrus,DAR,"$4,401,633",$0.323085,"13,623,762*","$35,407",-3.02%,7.36%,10.29%
157,Unobtanium,UNO,"$4,341,031",$21.96,"197,717","$38,313",-2.84%,14.63%,36.83%
158,Ethereum Movi...,EMV,"$4,234,311",$0.644819,"6,566,666*","$1,663",0.34%,9.02%,113.88%
159,ZcCoin,ZCC,"$4,175,273",$0.067718,"61,657,044","$1,683,040",11.39%,25.32%,135.84%
160,Wild Beast Block,WBB,"$4,152,054",$1.79,"2,317,576","$25,501",0.43%,0.05%,38.36%
161,BitBean,BITB,"$4,129,800",$0.002123,"1,945,028,000*","$208,579",4.81%,11.95%,519.43%
162,Zetacoin,ZET,"$4,114,901",$0.024772,"166,110,980","$875,546",4.05%,1.82%,458.15%
163,bitCNY,BITCNY,"$4,099,507",$0.135761,"30,196,500*","$564,259",-1.88%,-2.52%,-3.05%
164,NautilusCoin,NAUT,"$4,017,785",$0.248318,"16,180,000*","$438,173",1.88%,-0.93%,36.54%
165,Riecoin,RIC,"$3,986,487",$0.117435,"33,946,325","$915,456",5.55%,9.95%,73.53%
166,FairCoin,FAIR,"$3,854,974",$0.072610,"53,091,427*","$10,671",0.53%,19.33%,34.35%
167,Cryptonite,XCN,"$3,684,968",$0.011326,"325,354,753","$246,082",8.99%,6.58%,87.52%
168,PoSW Coin,POSW,"$3,604,503",$0.087915,"41,000,000*","$63,591",-1.73%,2.65%,-0.85%
169,Circuits of V...,COVAL,"$3,580,248",$0.008951,"400,000,000*","$229,763",1.72%,63.90%,209.12%
170,Curecoin,CURE,"$3,479,814",$0.131655,"26,431,310**","$7,701",0.03%,5.91%,80.56%
171,ArtByte,ABY,"$3,473,491",$0.004509,"770,394,050**","$154,361",1.04%,54.36%,276.53%
172,Musicoin,MUSIC,"$3,408,770",$0.021418,"159,155,924","$670,282",-3.43%,-18.57%,223.14%
173,MUSE,MUSE,"$3,369,487",$0.002451,"1,374,840,478*","$4,528",23.37%,-30.48%,-1.94%
174,Bitland,CADASTRAL,"$3,360,600",$0.112020,"30,000,000*","$49,865",-9.48%,40.31%,185.18%
175,SpreadCoin,SPR,"$3,292,654",$0.407462,"8,080,885","$8,604",0.45%,2.06%,26.45%
176,Diamond,DMD,"$3,285,096",$1.56,"2,111,801","$16,459",2.32%,16.88%,77.18%
177,Tickets,TIX,"$3,192,934",$0.000048,"66,876,281,414","$272,796",8.22%,13.34%,362.42%
178,Zennies,ZENI,"$3,064,544",$0.003062,"1,000,673,851*","$12,553",1.72%,6.26%,32.80%
179,BitSend,BSD,"$3,031,176",$0.200039,"15,152,925","$28,797",4.99%,-5.57%,98.00%
180,Myriad,XMY,"$3,029,830",$0.002042,"1,484,002,996","$305,928",0.25%,48.71%,270.02%
181,Sphere,SPHR,"$2,988,143",$0.969251,"3,082,940*","$14,246",1.06%,1.61%,-10.97%
182,Mintcoin,MINT,"$2,906,874",$0.000119,"24,331,817,657*","$38,408",0.21%,45.82%,221.60%
183,Espers,ESP,"$2,825,979",$0.000141,"20,093,851,111","$36,819",10.17%,54.21%,169.37%
184,Adzcoin,ADZ,"$2,811,966",$0.051318,"54,794,920","$9,181",-1.68%,6.54%,60.58%
185,iCash,ICASH,"$2,800,099",$0.012706,"220,377,880","$22,368",-5.56%,-31.73%,-2.09%
186,DubaiCoin,DBIX,"$2,782,568",$3.22,"865,157","$22,016",1.35%,14.81%,23.16%
187,MaxCoin,MAX,"$2,741,771",$0.050361,"54,442,678","$970,701",0.70%,43.40%,331.40%
188,Jinn,JINN,"$2,733,693",$46.57,"58,703*","$9,826",1.67%,-18.26%,-17.02%
189,RaiBlocks,XRB,"$2,646,765",$0.037106,"71,330,427","$55,840",1.53%,51.85%,132.78%
190,Steem Dollars,SBD,"$2,591,871",$2.05,"1,264,839*","$126,952",-0.70%,2.74%,22.11%
191,BoostCoin,BOST,"$2,563,702",$0.216246,"11,855,487","$394,974",4.49%,2.12%,51.99%
192,TransferCoin,TX,"$2,427,019",$0.407085,"5,961,947*","$17,897",1.42%,-4.81%,24.68%
193,Atmos,ATMS,"$2,333,473",$0.023320,"100,061,889*","$17,970",0.82%,17.08%,15.77%
194,Groestlcoin,GRS,"$2,240,357",$0.033167,"67,548,187","$3,868",3.69%,3.24%,44.43%
195,HunterCoin,HUC,"$2,234,785",$0.127600,"17,513,990","$136,034",1.01%,12.08%,62.84%
196,Spectrecoin,XSPEC,"$2,196,559",$0.107828,"20,370,952*","$23,023",5.61%,6.63%,114.95%
197,Veros,VRS,"$2,150,262",$0.025153,"85,486,938*","$64,888",0.11%,4.23%,66.74%
198,Voxels,VOX,"$2,115,880",$0.067171,"31,500,000*","$2,937,670",-7.39%,61.62%,408.81%
199,GoldCoin,GLD,"$2,115,098",$0.052570,"40,233,624","$7,595",0.88%,17.92%,25.88%
200,Rise,RISE,"$2,096,703",$0.019525,"107,387,215*","$33,802",-0.01%,11.53%,59.16%
201,Creativecoin,CREA,"$2,074,044",$0.251068,"8,260,884","$23,303",1.91%,23.99%,248.30%
202,OKCash,OK,"$2,064,205",$0.028864,"71,514,127*","$29,281",0.03%,-5.57%,30.35%
